Width,Height,Eccentricity,Moore Length,Slopes,DirectionSum,Y
17,29,0.586207,76,1,13,0
6,29,0.206897,62,1,19,1
18,29,0.620690,100,2,18,9
18,29,0.620690,78,5,49,4
18,29,0.620690,77,0,12,0
5,29,0.172414,61,0,12,1
18,29,0.620690,100,2,22,9
18,29,0.620690,77,4,46,4
16,29,0.551724,75,1,15,0
5,29,0.172414,62,0,12,1
18,29,0.620690,99,0,12,9
18,29,0.620690,76,5,49,4
16,29,0.551724,75,1,13,0
5,29,0.172414,61,1,19,1
18,29,0.620690,99,1,15,9
18,29,0.620690,78,5,49,4
18,29,0.620690,79,0,12,0
5,29,0.172414,64,0,12,1
16,29,0.551724,83,4,46,7
16,29,0.551724,113,5,45,5
5,29,0.172414,64,0,12,1
16,29,0.551724,82,3,33,7
16,29,0.551724,118,5,41,5
6,29,0.206897,65,0,12,1
18,29,0.620690,78,6,44,4
16,29,0.551724,83,4,40,7
18,29,0.620690,123,4,44,5
6,29,0.206897,64,0,12,1
16,29,0.551724,82,4,40,7
15,29,0.517241,113,5,45,5
6,29,0.206897,64,0,12,1
16,29,0.551724,83,4,40,7
16,29,0.551724,116,5,41,5
6,29,0.206897,63,1,19,1
16,29,0.551724,73,5,47,4
16,29,0.551724,81,2,32,7
16,29,0.551724,116,4,44,5
6,29,0.206897,63,2,30,1
16,29,0.551724,74,5,49,4
16,29,0.551724,82,3,33,7
16,29,0.551724,113,5,45,5
6,29,0.206897,64,2,30,1
16,29,0.551724,74,5,49,4
16,27,0.592593,79,4,38,7
17,29,0.586207,121,5,45,5
6,29,0.206897,65,0,12,1
16,29,0.551724,76,5,49,4
16,29,0.551724,81,3,33,7
17,29,0.586207,120,4,44,5
6,29,0.206897,63,0,12,1
16,29,0.551724,82,5,43,7
16,29,0.551724,114,4,44,5
6,29,0.206897,65,0,12,1
18,29,0.620690,78,0,12,8
18,29,0.620690,105,2,18,9
16,29,0.551724,114,5,47,5
16,29,0.551724,74,5,51,4
18,29,0.620690,79,0,12,8
18,29,0.620690,101,2,18,9
18,29,0.620690,121,5,45,5
18,29,0.620690,75,5,51,4
16,29,0.551724,77,0,12,8
18,29,0.620690,101,2,22,9
17,29,0.586207,122,5,45,5
16,29,0.551724,76,5,51,4
18,29,0.620690,80,0,12,8
18,29,0.620690,102,2,18,9
16,29,0.551724,112,5,47,5
18,29,0.620690,75,5,51,4
18,29,0.620690,78,1,15,8
18,29,0.620690,97,3,23,9
16,29,0.551724,114,6,48,5
18,29,0.620690,75,5,51,4
18,29,0.620690,79,0,12,8
18,29,0.620690,101,2,22,9
16,29,0.551724,113,5,45,5
18,29,0.620690,76,5,51,4
18,29,0.620690,78,0,12,8
16,29,0.551724,98,2,22,9
16,29,0.551724,114,5,45,5
